Jogador,Time,Tipo,Linha,Odds,Conf,Season Avg,Last5 Avg,Matchup,Status
Tre Mann,Charlotte Hornets,ASSISTS,1.4,1.18,🟡 6.0,1.7,1.7,0.83x,✅ Ativo
Xavier Tillman,Charlotte Hornets,POINTS,0.8,1.32,🔴 2.0,0.4,1.5,1.00x,✅ Ativo
Xavier Tillman,Charlotte Hornets,REBOUNDS,2,1.44,🔴 1.0,1,4.5,0.83x,✅ Ativo
Xavier Tillman,Charlotte Hornets,ASSISTS,1.2,1.42,🔴 1.0,0.5,3,0.83x,✅ Ativo
Ben Sheppard,Indiana Pacers,POINTS,7.1,1.36,🟢 8.0,7.1,7.1,1.00x,✅ Ativo
Ben Sheppard,Indiana Pacers,REBOUNDS,2.5,1.25,🟡 6.0,3,3,0.83x,✅ Ativo
Ben Sheppard,Indiana Pacers,ASSISTS,1.5,1.19,🟡 6.0,1.8,1.8,0.83x,✅ Ativo
Cody Martin,Indiana Pacers,POINTS,1.8,1.15,🔴 4.0,1.8,1.8,1.00x,✅ Ativo
Cody Martin,Indiana Pacers,REBOUNDS,2.9,1.38,🔴 3.0,3.5,3.5,0.83x,✅ Ativo
Cody Martin,Indiana Pacers,ASSISTS,0.4,1.21,🔴 3.0,0.5,0.5,0.83x,✅ Ativo
Ethan Thompson,Indiana Pacers,POINTS,5.8,1.27,🟡 6.0,5.8,5.8,1.00x,✅ Ativo
Ethan Thompson,Indiana Pacers,REBOUNDS,1.5,1.19,🔴 4.0,1.8,1.8,0.83x,✅ Ativo
Ethan Thompson,Indiana Pacers,ASSISTS,1.2,1.16,🔴 4.0,1.5,1.5,0.83x,✅ Ativo
Garrison Mathews,Indiana Pacers,POINTS,5.3,1.25,🟡 6.0,5.2,5.4,1.00x,✅ Ativo
Garrison Mathews,Indiana Pacers,REBOUNDS,0.9,1.14,🔴 4.0,1.1,1,0.83x,✅ Ativo
Garrison Mathews,Indiana Pacers,ASSISTS,0.6,1.13,🔴 4.0,0.7,0.6,0.83x,✅ Ativo
Jalen Slawson,Indiana Pacers,POINTS,5.8,1.27,🟡 5.0,5.8,5.8,1.00x,✅ Ativo
Jalen Slawson,Indiana Pacers,REBOUNDS,3.7,1.44,🔴 3.0,4.4,4.4,0.83x,✅ Ativo
Jalen Slawson,Indiana Pacers,ASSISTS,2.3,1.34,🔴 3.0,2.8,2.8,0.83x,✅ Ativo
James Wiseman,Indiana Pacers,POINTS,3.1,1.18,🔴 4.0,3.3,3.3,0.95x,✅ Ativo
James Wiseman,Indiana Pacers,REBOUNDS,1.7,1.3,🔴 3.0,2,2,0.83x,✅ Ativo
James Wiseman,Indiana Pacers,ASSISTS,0.7,1.24,🔴 3.0,0.8,0.8,0.83x,✅ Ativo
Jay Huff,Indiana Pacers,POINTS,8.9,1.41,🟢 8.0,9.4,9.4,0.95x,✅ Ativo
Jay Huff,Indiana Pacers,REBOUNDS,3.2,1.3,🟡 6.0,3.8,3.8,0.83x,✅ Ativo
Jay Huff,Indiana Pacers,ASSISTS,1.2,1.17,🟡 6.0,1.4,1.4,0.83x,✅ Ativo
Kam Jones,Indiana Pacers,POINTS,4.3,1.22,🟡 6.0,4.3,4.3,1.00x,✅ Ativo
Kam Jones,Indiana Pacers,REBOUNDS,1.2,1.17,🟡 5.0,1.4,1.4,0.83x,✅ Ativo
Kam Jones,Indiana Pacers,ASSISTS,2.3,1.24,🟡 5.0,2.8,2.8,0.83x,✅ Ativo
Kobe Brown,Indiana Pacers,POINTS,9.1,1.36,🟡 6.0,9.1,9.1,1.00x,✅ Ativo
Kobe Brown,Indiana Pacers,REBOUNDS,3.8,1.34,🔴 4.0,4.6,4.6,0.83x,✅ Ativo
Kobe Brown,Indiana Pacers,ASSISTS,1.4,1.18,🔴 4.0,1.7,1.7,0.83x,✅ Ativo
Micah Potter,Indiana Pacers,POINTS,8.7,1.34,🟡 7.0,9.2,9.2,0.95x,✅ Ativo
Micah Potter,Indiana Pacers,REBOUNDS,3.7,1.34,🟡 5.0,4.4,4.4,0.83x,✅ Ativo
Micah Potter,Indiana Pacers,ASSISTS,1.2,1.17,🟡 5.0,1.4,1.4,0.83x,✅ Ativo
Monte Morris,Indiana Pacers,POINTS,3,1.19,🔴 4.0,3,3,1.00x,✅ Ativo
Monte Morris,Indiana Pacers,REBOUNDS,1,1.25,🔴 3.0,1.2,1.2,0.83x,✅ Ativo
Monte Morris,Indiana Pacers,ASSISTS,1.2,1.26,🔴 3.0,1.5,1.5,0.83x,✅ Ativo
Obi Toppin,Indiana Pacers,POINTS,9.9,1.38,🟡 6.0,9.9,9.9,1.00x,✅ Ativo
Obi Toppin,Indiana Pacers,REBOUNDS,3.4,1.31,🔴 4.0,4.1,4.1,0.83x,✅ Ativo
Obi Toppin,Indiana Pacers,ASSISTS,1.9,1.21,🔴 4.0,2.3,2.3,0.83x,✅ Ativo
Pascal Siakam,Indiana Pacers,POINTS,22.7,1.8,🟢 10,23.9,23.9,1.00x,✅ Ativo
Pascal Siakam,Indiana Pacers,REBOUNDS,5.2,1.49,🟢 10.0,6.6,6.6,0.83x,✅ Ativo
Pascal Siakam,Indiana Pacers,ASSISTS,3,1.34,🟢 9.0,3.8,3.8,0.83x,✅ Ativo
Quenton Jackson,Indiana Pacers,POINTS,8.3,1.34,🟡 7.0,8.3,8.3,1.00x,✅ Ativo
Quenton Jackson,Indiana Pacers,REBOUNDS,1.8,1.2,🟡 5.0,2.2,2.2,0.83x,✅ Ativo
Quenton Jackson,Indiana Pacers,ASSISTS,2.1,1.23,🟡 5.0,2.5,2.5,0.83x,✅ Ativo
Taelon Peter,Indiana Pacers,POINTS,4.1,1.22,🟡 6.0,4.1,4.1,1.00x,✅ Ativo
Taelon Peter,Indiana Pacers,REBOUNDS,1.2,1.17,🟡 5.0,1.4,1.4,0.83x,✅ Ativo
Taelon Peter,Indiana Pacers,ASSISTS,0.8,1.13,🟡 5.0,1,1,0.83x,✅ Ativo
Tony Bradley,Indiana Pacers,POINTS,4.4,1.24,🔴 4.0,4,5.4,0.95x,✅ Ativo
Tony Bradley,Indiana Pacers,REBOUNDS,3.2,1.43,🔴 3.0,2.8,5.2,0.83x,✅ Ativo
Tony Bradley,Indiana Pacers,ASSISTS,0.5,1.23,🔴 3.0,0.5,0.8,0.83x,✅ Ativo
Anthony Edwards,Minnesota Timberwolves,POINTS,28.6,1.99,🟡 7.0,29.3,25.6,1.04x, ⚠️ QUESTIONABLE
Anthony Edwards,Minnesota Timberwolves,REBOUNDS,3.8,1.41,🔴 4.0,5.1,4,0.83x, ⚠️ QUESTIONABLE
Anthony Edwards,Minnesota Timberwolves,ASSISTS,3.3,1.39,🔴 4.0,3.7,4.6,0.83x, ⚠️ QUESTIONABLE
Ayo Dosunmu,Minnesota Timberwolves,POINTS,14.4,1.58,🟢 8.0,13.8,13.8,1.04x,✅ Ativo
Ayo Dosunmu,Minnesota Timberwolves,REBOUNDS,3.7,1.34,🟡 6.0,4.4,4.4,0.83x,✅ Ativo
Ayo Dosunmu,Minnesota Timberwolves,ASSISTS,3.2,1.3,🟡 6.0,3.8,3.8,0.83x,✅ Ativo
Donte DiVincenzo,Minnesota Timberwolves,POINTS,12.9,1.53,🟢 10.0,12.4,12.4,1.04x,✅ Ativo
Donte DiVincenzo,Minnesota Timberwolves,REBOUNDS,3.6,1.39,🟢 8.0,4.3,4.3,0.83x,✅ Ativo
Donte DiVincenzo,Minnesota Timberwolves,ASSISTS,3.2,1.63,🟢 8.0,3.9,3.9,0.83x,✅ Ativo
Jaylen Clark,Minnesota Timberwolves,POINTS,4.1,1.23,🟡 7.0,3.8,4,1.04x,✅ Ativo
Jaylen Clark,Minnesota Timberwolves,REBOUNDS,1.7,1.21,🔴 4.0,1.8,2.4,0.83x,✅ Ativo
Jaylen Clark,Minnesota Timberwolves,ASSISTS,0.4,1.11,🟡 5.0,0.5,0.4,0.83x,✅ Ativo
Joan Beringer,Minnesota Timberwolves,POINTS,2.9,1.18,🟡 6.0,2.9,3,1.00x,✅ Ativo
Joan Beringer,Minnesota Timberwolves,REBOUNDS,1.7,1.2,🔴 4.0,1.9,2.2,0.83x,✅ Ativo
Joan Beringer,Minnesota Timberwolves,ASSISTS,0.2,1.11,🟡 5.0,0.2,0.2,0.83x,✅ Ativo
Joe Ingles,Minnesota Timberwolves,POINTS,1.4,1.32,🔴 3.0,0.8,2.2,1.00x,✅ Ativo
Joe Ingles,Minnesota Timberwolves,REBOUNDS,0.3,1.2,🔴 3.0,0.4,0.5,0.83x,✅ Ativo
Joe Ingles,Minnesota Timberwolves,ASSISTS,0.7,1.24,🔴 3.0,0.8,1,0.83x,✅ Ativo
Johnny Juzang,Minnesota Timberwolves,POINTS,2.1,1.17,🟡 5.0,2,2,1.04x,✅ Ativo
Johnny Juzang,Minnesota Timberwolves,REBOUNDS,0.7,1.14,🔴 4.0,0.8,0.8,0.83x,✅ Ativo
Johnny Juzang,Minnesota Timberwolves,ASSISTS,0.2,1.1,🔴 4.0,0.3,0.3,0.83x,✅ Ativo
Julian Phillips,Minnesota Timberwolves,POINTS,1.9,1.15,🔴 4.0,1.9,1.9,1.00x,✅ Ativo
Julian Phillips,Minnesota Timberwolves,REBOUNDS,0.2,1.21,🔴 3.0,0.2,0.2,0.83x,✅ Ativo
Julian Phillips,Minnesota Timberwolves,ASSISTS,0.2,1.21,🔴 3.0,0.2,0.2,0.83x,✅ Ativo
Julius Randle,Minnesota Timberwolves,POINTS,20,1.73,🟢 10,21.1,21.1,1.00x,✅ Ativo
Julius Randle,Minnesota Timberwolves,REBOUNDS,5.4,1.51,🟢 10.0,6.8,6.8,0.83x,✅ Ativo
Julius Randle,Minnesota Timberwolves,ASSISTS,4,1.41,🟢 9.0,5.1,5.1,0.83x,✅ Ativo
Kyle Anderson,Minnesota Timberwolves,POINTS,3.4,1.2,🟡 5.0,3.4,3.4,1.00x,✅ Ativo
Kyle Anderson,Minnesota Timberwolves,REBOUNDS,3.1,1.29,🔴 4.0,3.7,3.7,0.83x,✅ Ativo
Kyle Anderson,Minnesota Timberwolves,ASSISTS,2.3,1.24,🔴 4.0,2.8,2.8,0.83x,✅ Ativo
Mike Conley,Minnesota Timberwolves,POINTS,4.5,1.23,🟡 7.0,4.3,4.3,1.04x,✅ Ativo
Mike Conley,Minnesota Timberwolves,REBOUNDS,1.4,1.18,🟡 6.0,1.7,1.7,0.83x,✅ Ativo
Mike Conley,Minnesota Timberwolves,ASSISTS,2.4,1.25,🟡 6.0,2.9,2.9,0.83x,✅ Ativo
Naz Reid,Minnesota Timberwolves,POINTS,12.9,1.52,🟢 10.0,13.6,13.6,0.95x,✅ Ativo
Naz Reid,Minnesota Timberwolves,REBOUNDS,5.1,1.49,🟢 9.0,6.2,6.2,0.83x,✅ Ativo
Naz Reid,Minnesota Timberwolves,ASSISTS,1.9,1.27,🟢 8.0,2.3,2.3,0.83x,✅ Ativo
Rocco Zikarsky,Minnesota Timberwolves,POINTS,1.4,1.13,🔴 4.0,1.5,1.5,0.95x,✅ Ativo
Rocco Zikarsky,Minnesota Timberwolves,REBOUNDS,1.1,1.26,🔴 3.0,1.3,1.3,0.83x,✅ Ativo
Rudy Gobert,Minnesota Timberwolves,POINTS,11.6,1.94,🟢 8.0,11.1,11.1,0.95x,✅ Ativo
Rudy Gobert,Minnesota Timberwolves,REBOUNDS,10.4,1.8,🟡 7.0,11.4,11.4,0.83x,✅ Ativo
Rudy Gobert,Minnesota Timberwolves,ASSISTS,1.6,1.2,🟡 6.0,1.7,1.7,0.83x,✅ Ativo
Terrence Shannon Jr.,Minnesota Timberwolves,POINTS,4.4,1.23,🟡 6.0,4.2,4.2,1.04x,✅ Ativo
Terrence Shannon Jr.,Minnesota Timberwolves,REBOUNDS,0.9,1.14,🟡 5.0,1.1,1.1,0.83x,✅ Ativo
Terrence Shannon Jr.,Minnesota Timberwolves,ASSISTS,0.6,1.13,🟡 5.0,0.7,0.7,0.83x,✅ Ativo
Adem Bona,Philadelphia 76ers,POINTS,4.9,1.24,🟡 7.0,4.9,4.9,1.00x,✅ Ativo
