Jogador,Time,Tipo,Linha,Odds,Conf,Season Avg,Last5 Avg,Matchup,Status
Keaton Wallace,Atlanta Hawks,ASSISTS,1.4,1.18,🟡 6.0,1.7,1.7,0.83x,✅ Ativo
Gabe Vincent,Atlanta Hawks,POINTS,3.9,1.21,🟡 5.0,3.9,3.9,1.00x,✅ Ativo
Gabe Vincent,Atlanta Hawks,REBOUNDS,1,1.15,🔴 4.0,1.2,1.2,0.83x,✅ Ativo
Gabe Vincent,Atlanta Hawks,ASSISTS,1.3,1.17,🔴 4.0,1.6,1.6,0.83x,✅ Ativo
Corey Kispert,Atlanta Hawks,POINTS,7.9,1.31,🟡 5.0,9,6.2,1.00x,✅ Ativo
Corey Kispert,Atlanta Hawks,REBOUNDS,1.8,1.2,🔴 4.0,2.4,1.8,0.83x,✅ Ativo
Corey Kispert,Atlanta Hawks,ASSISTS,1.2,1.16,🟡 5.0,1.6,1.4,0.83x,✅ Ativo
Caleb Houstan,Atlanta Hawks,POINTS,2.4,1.17,🟡 5.0,2.4,2.4,1.00x,✅ Ativo
Caleb Houstan,Atlanta Hawks,REBOUNDS,0.5,1.12,🔴 4.0,0.6,0.6,0.83x,✅ Ativo
Caleb Houstan,Atlanta Hawks,ASSISTS,0.2,1.11,🔴 4.0,0.2,0.2,0.83x,✅ Ativo
Asa Newell,Atlanta Hawks,POINTS,4.5,1.3,🟡 5.0,5,5,1.00x, ⚠️ QUESTIONABLE
Asa Newell,Atlanta Hawks,REBOUNDS,1.5,1.26,🔴 4.0,2,2,0.83x, ⚠️ QUESTIONABLE
Asa Newell,Atlanta Hawks,ASSISTS,0.4,1.19,🔴 4.0,0.5,0.5,0.83x, ⚠️ QUESTIONABLE
Dyson Daniels,Atlanta Hawks,POINTS,11.9,1.5,🟢 10.0,11.9,11.9,1.00x,✅ Ativo
Dyson Daniels,Atlanta Hawks,REBOUNDS,5.6,1.52,🟢 9.0,6.8,6.8,0.83x,✅ Ativo
Dyson Daniels,Atlanta Hawks,ASSISTS,4.9,1.48,🟢 8.0,5.9,5.9,0.83x,✅ Ativo
Buddy Hield,Atlanta Hawks,POINTS,1,1.13,🔴 4.0,1,1,1.00x,✅ Ativo
Buddy Hield,Atlanta Hawks,REBOUNDS,0.8,1.23,🔴 3.0,1,1,0.83x,✅ Ativo
Buddy Hield,Atlanta Hawks,ASSISTS,0.3,1.2,🔴 3.0,0.4,0.4,0.83x,✅ Ativo
Onyeka Okongwu,Atlanta Hawks,POINTS,15.4,1.6,🟢 10.0,15.4,15.4,1.00x,✅ Ativo
Onyeka Okongwu,Atlanta Hawks,REBOUNDS,6.4,1.58,🟢 9.0,7.7,7.7,0.83x,✅ Ativo
Onyeka Okongwu,Atlanta Hawks,ASSISTS,2.7,1.33,🟢 8.0,3.2,3.2,0.83x,✅ Ativo
Nickeil Alexander-Walker,Atlanta Hawks,POINTS,19.6,1.72,🟢 10,20.6,20.6,1.00x,✅ Ativo
Nickeil Alexander-Walker,Atlanta Hawks,REBOUNDS,2.7,1.32,🟢 9.0,3.5,3.5,0.83x,✅ Ativo
Nickeil Alexander-Walker,Atlanta Hawks,ASSISTS,2.9,1.61,🟢 9.0,3.7,3.7,0.83x,✅ Ativo
Zaccharie Risacher,Atlanta Hawks,POINTS,9.9,1.44,🟢 8.0,9.9,9.9,1.00x,✅ Ativo
Zaccharie Risacher,Atlanta Hawks,REBOUNDS,3.2,1.3,🟡 6.0,3.8,3.8,0.83x,✅ Ativo
Zaccharie Risacher,Atlanta Hawks,ASSISTS,0.9,1.14,🟡 6.0,1.1,1.1,0.83x,✅ Ativo
Ben Saraf,Brooklyn Nets,POINTS,8.2,1.36,🟡 5.0,6.7,9.8,1.04x,✅ Ativo
Ben Saraf,Brooklyn Nets,REBOUNDS,2.2,1.37,🔴 3.0,1.9,4,0.83x,✅ Ativo
Ben Saraf,Brooklyn Nets,ASSISTS,2.9,1.29,🔴 4.0,3.2,4,0.83x,✅ Ativo
Chaney Johnson,Brooklyn Nets,POINTS,7.7,1.32,🟡 6.0,7.5,8,1.00x,✅ Ativo
Chaney Johnson,Brooklyn Nets,REBOUNDS,3.1,1.39,🔴 3.0,4.1,3,0.83x,✅ Ativo
Chaney Johnson,Brooklyn Nets,ASSISTS,1.7,1.19,🔴 4.0,2.2,2,0.83x,✅ Ativo
Drake Powell,Brooklyn Nets,POINTS,8.2,1.36,🟡 6.0,6.3,10.2,1.04x,✅ Ativo
Drake Powell,Brooklyn Nets,REBOUNDS,1.7,1.22,🔴 4.0,1.7,2.6,0.83x,✅ Ativo
Drake Powell,Brooklyn Nets,ASSISTS,1.2,1.17,🟡 6.0,1.4,1.4,0.83x,✅ Ativo
E.J. Liddell,Brooklyn Nets,POINTS,2.4,1.16,🔴 4.0,2.6,2,1.00x,✅ Ativo
E.J. Liddell,Brooklyn Nets,REBOUNDS,1.6,1.19,🔴 4.0,1.9,2,0.83x,✅ Ativo
E.J. Liddell,Brooklyn Nets,ASSISTS,0.7,1.25,🔴 2.0,0.7,1.2,0.83x,✅ Ativo
Grant Nelson,Brooklyn Nets,POINTS,4.3,1.22,🔴 4.0,4.3,4.3,1.00x,✅ Ativo
Grant Nelson,Brooklyn Nets,REBOUNDS,1.2,1.26,🔴 3.0,1.5,1.5,0.83x,✅ Ativo
Grant Nelson,Brooklyn Nets,ASSISTS,1.1,1.26,🔴 3.0,1.3,1.3,0.83x,✅ Ativo
Jalen Wilson,Brooklyn Nets,POINTS,7.8,1.36,🟡 5.0,5.8,10.8,1.00x,✅ Ativo
Jalen Wilson,Brooklyn Nets,REBOUNDS,2.2,1.37,🔴 3.0,1.8,3.8,0.83x,✅ Ativo
Jalen Wilson,Brooklyn Nets,ASSISTS,0.7,1.25,🔴 3.0,0.7,1,0.83x,✅ Ativo
Josh Minott,Brooklyn Nets,POINTS,12.5,1.48,🟡 6.0,10.5,15.4,1.00x,✅ Ativo
Josh Minott,Brooklyn Nets,REBOUNDS,2.7,1.29,🔴 4.0,2.6,4,0.83x,✅ Ativo
Josh Minott,Brooklyn Nets,ASSISTS,0.8,1.14,🔴 4.0,0.9,1.2,0.83x,✅ Ativo
Noah Clowney,Brooklyn Nets,POINTS,9.9,1.42,🟢 8.0,12.3,6.4,1.00x,✅ Ativo
Noah Clowney,Brooklyn Nets,REBOUNDS,3.3,1.36,🟢 8.0,4.1,3.8,0.83x,✅ Ativo
Noah Clowney,Brooklyn Nets,ASSISTS,1.1,1.14,🟡 6.0,1.6,0.8,0.83x,✅ Ativo
Ochai Agbaji,Brooklyn Nets,POINTS,6.8,1.3,🟡 6.0,6.4,6.6,1.04x,✅ Ativo
Ochai Agbaji,Brooklyn Nets,REBOUNDS,1.9,1.22,🔴 4.0,2.2,2.4,0.83x,✅ Ativo
Ochai Agbaji,Brooklyn Nets,ASSISTS,0.6,1.22,🔴 3.0,0.8,0.6,0.83x,✅ Ativo
Terance Mann,Brooklyn Nets,POINTS,5.7,1.32,🟡 5.0,7.2,4.4,1.04x, ⚠️ QUESTIONABLE
Terance Mann,Brooklyn Nets,REBOUNDS,2.6,1.34,🔴 4.0,3.2,3.8,0.83x, ⚠️ QUESTIONABLE
Terance Mann,Brooklyn Nets,ASSISTS,1.9,1.37,🔴 3.0,3,1.8,0.83x, ⚠️ QUESTIONABLE
Tyson Etienne,Brooklyn Nets,POINTS,8,1.36,🔴 4.0,6,10.2,1.04x,✅ Ativo
Tyson Etienne,Brooklyn Nets,REBOUNDS,0.4,1.19,🔴 2.0,0.6,0.4,0.83x,✅ Ativo
Tyson Etienne,Brooklyn Nets,ASSISTS,1.5,1.33,🔴 2.0,1.2,2.6,0.83x,✅ Ativo
Ziaire Williams,Brooklyn Nets,POINTS,12.5,1.54,🟢 8.0,10.3,15.8,1.00x,✅ Ativo
Ziaire Williams,Brooklyn Nets,REBOUNDS,1.8,1.2,🟡 7.0,2.4,1.8,0.83x,✅ Ativo
Ziaire Williams,Brooklyn Nets,ASSISTS,1,1.17,🟡 6.0,1,1.6,0.83x,✅ Ativo
Collin Sexton,Chicago Bulls,POINTS,17.2,1.65,🟢 8.0,17.2,17.2,1.00x,✅ Ativo
Collin Sexton,Chicago Bulls,REBOUNDS,2,1.22,🟡 6.0,2.4,2.4,0.83x,✅ Ativo
Collin Sexton,Chicago Bulls,ASSISTS,2.1,1.23,🟡 6.0,2.5,2.5,0.83x,✅ Ativo
Guerschon Yabusele,Chicago Bulls,POINTS,10.6,1.46,🟢 8.0,10.6,10.6,1.00x,✅ Ativo
Guerschon Yabusele,Chicago Bulls,REBOUNDS,4.6,1.39,🟡 6.0,5.6,5.6,0.83x,✅ Ativo
Guerschon Yabusele,Chicago Bulls,ASSISTS,1.5,1.19,🟡 6.0,1.8,1.8,0.83x,✅ Ativo
Isaac Okoro,Chicago Bulls,POINTS,9.3,1.43,🟢 8.0,9.3,9.3,1.00x,✅ Ativo
Isaac Okoro,Chicago Bulls,REBOUNDS,2.2,1.23,🟡 6.0,2.7,2.7,0.83x,✅ Ativo
Isaac Okoro,Chicago Bulls,ASSISTS,1.2,1.16,🟡 6.0,1.5,1.5,0.83x,✅ Ativo
Josh Giddey,Chicago Bulls,POINTS,17.5,1.6,🟡 7.0,17.2,14,1.00x,✅ Ativo
Josh Giddey,Chicago Bulls,REBOUNDS,7.7,1.61,🟡 7.0,8.4,8.6,0.83x,✅ Ativo
Josh Giddey,Chicago Bulls,ASSISTS,9.1,1.72,🟡 6.0,9.2,11.2,0.83x,✅ Ativo
Lachlan Olbrich,Chicago Bulls,POINTS,1.7,1.14,🟡 6.0,1.8,1.8,0.95x,✅ Ativo
Lachlan Olbrich,Chicago Bulls,REBOUNDS,1.8,1.2,🟡 5.0,2.2,2.2,0.83x,✅ Ativo
Lachlan Olbrich,Chicago Bulls,ASSISTS,0.5,1.12,🟡 5.0,0.6,0.6,0.83x,✅ Ativo
Leonard Miller,Chicago Bulls,POINTS,10.2,1.45,🟢 8.0,10.2,10.2,1.00x,✅ Ativo
Leonard Miller,Chicago Bulls,REBOUNDS,4.2,1.37,🟡 6.0,5.1,5.1,0.83x,✅ Ativo
Leonard Miller,Chicago Bulls,ASSISTS,0.9,1.14,🟡 6.0,1.1,1.1,0.83x,✅ Ativo
Matas Buzelis,Chicago Bulls,POINTS,16.4,1.63,🟢 10.0,16.4,16.4,1.00x,✅ Ativo
Matas Buzelis,Chicago Bulls,REBOUNDS,4.8,1.47,🟢 8.0,5.8,5.8,0.83x,✅ Ativo
Matas Buzelis,Chicago Bulls,ASSISTS,1.7,1.26,🟢 8.0,2.1,2.1,0.83x,✅ Ativo
Nick Richards,Chicago Bulls,POINTS,7.4,2.2,🔴 4.0,9.4,7.6,0.95x, ⚠️ QUESTIONABLE
Nick Richards,Chicago Bulls,REBOUNDS,5.4,1.52,🔴 4.0,7.6,6.6,0.83x, ⚠️ QUESTIONABLE
Nick Richards,Chicago Bulls,ASSISTS,0.2,1.24,🔴 1.0,0.4,0.2,0.83x, ⚠️ QUESTIONABLE
Patrick Williams,Chicago Bulls,POINTS,6.6,1.35,🟢 8.0,6.6,6.6,1.00x,✅ Ativo
Patrick Williams,Chicago Bulls,REBOUNDS,2.3,1.24,🟡 6.0,2.8,2.8,0.83x,✅ Ativo
Patrick Williams,Chicago Bulls,ASSISTS,1.1,1.16,🟡 6.0,1.3,1.3,0.83x,✅ Ativo
Rob Dillingham,Chicago Bulls,POINTS,8.6,1.35,🟡 6.0,8.6,8.6,1.00x,✅ Ativo
Rob Dillingham,Chicago Bulls,REBOUNDS,2.1,1.23,🔴 4.0,2.5,2.5,0.83x,✅ Ativo
Rob Dillingham,Chicago Bulls,ASSISTS,2.4,1.25,🔴 4.0,2.9,2.9,0.83x,✅ Ativo
Tre Jones,Chicago Bulls,POINTS,14.7,1.59,🟢 8.0,13.4,13.4,1.00x,✅ Ativo
Tre Jones,Chicago Bulls,REBOUNDS,2.8,1.28,🟡 6.0,3.1,3.1,0.83x,✅ Ativo
Tre Jones,Chicago Bulls,ASSISTS,4.9,1.42,🟡 6.0,5.4,5.4,0.83x,✅ Ativo
Yuki Kawamura,Chicago Bulls,POINTS,2.8,1.18,🟡 5.0,2.8,2.8,1.00x,✅ Ativo
Yuki Kawamura,Chicago Bulls,REBOUNDS,1.7,1.2,🔴 4.0,2,2,0.83x,✅ Ativo
Yuki Kawamura,Chicago Bulls,ASSISTS,2.4,1.25,🔴 4.0,2.9,2.9,0.83x,✅ Ativo
Ariel Hukporti,New York Knicks,POINTS,1.9,1.15,🟡 7.0,1.9,1.9,1.00x,✅ Ativo
Ariel Hukporti,New York Knicks,REBOUNDS,2.3,1.24,🟡 6.0,2.8,2.8,0.83x,✅ Ativo
Ariel Hukporti,New York Knicks,ASSISTS,0.4,1.11,🟡 6.0,0.5,0.5,0.83x,✅ Ativo
Dillon Jones,New York Knicks,POINTS,1.2,1.13,🔴 4.0,1.2,1.2,1.00x,✅ Ativo
Dillon Jones,New York Knicks,REBOUNDS,0.8,1.23,🔴 3.0,1,1,0.83x,✅ Ativo
Dillon Jones,New York Knicks,ASSISTS,0.6,1.23,🔴 3.0,0.7,0.7,0.83x,✅ Ativo
Jalen Brunson,New York Knicks,POINTS,23.1,1.89,🟢 9.0,26.1,25,1.00x, ⚠️ QUESTIONABLE
Jalen Brunson,New York Knicks,REBOUNDS,2.3,1.3,🟡 6.0,3.4,2.8,0.83x, ⚠️ QUESTIONABLE
Jalen Brunson,New York Knicks,ASSISTS,5.2,1.57,🟢 8.0,6.7,7.4,0.83x, ⚠️ QUESTIONABLE
Jeremy Sochan,New York Knicks,POINTS,2.6,1.31,🔴 3.0,1.9,3.6,1.00x,✅ Ativo
Jeremy Sochan,New York Knicks,REBOUNDS,1.5,1.3,🔴 2.0,1.5,2.2,0.83x,✅ Ativo
Jeremy Sochan,New York Knicks,ASSISTS,0.4,1.21,🔴 3.0,0.5,0.6,0.83x,✅ Ativo
Jordan Clarkson,New York Knicks,POINTS,8.9,1.41,🟢 8.0,8.9,8.9,1.00x,✅ Ativo
Jordan Clarkson,New York Knicks,REBOUNDS,1.4,1.18,🟡 6.0,1.7,1.7,0.83x,✅ Ativo
Jordan Clarkson,New York Knicks,ASSISTS,1.1,1.16,🟡 6.0,1.3,1.3,0.83x,✅ Ativo
Jose Alvarado,New York Knicks,POINTS,6.2,1.28,🟡 6.0,6.2,6.2,1.00x,✅ Ativo
Jose Alvarado,New York Knicks,REBOUNDS,1.5,1.19,🔴 4.0,1.8,1.8,0.83x,✅ Ativo
Jose Alvarado,New York Knicks,ASSISTS,3.1,1.29,🔴 4.0,3.7,3.7,0.83x,✅ Ativo
Josh Hart,New York Knicks,POINTS,13.4,1.55,🟢 8.0,12.2,12.2,1.00x,✅ Ativo
Josh Hart,New York Knicks,REBOUNDS,6.8,1.55,🟡 7.0,7.5,7.5,0.83x,✅ Ativo
Josh Hart,New York Knicks,ASSISTS,4.5,1.4,🟡 6.0,4.9,4.9,0.83x,✅ Ativo
Karl-Anthony Towns,New York Knicks,POINTS,20.1,1.73,🟢 10.0,20.1,20.1,1.00x,✅ Ativo
Karl-Anthony Towns,New York Knicks,REBOUNDS,9.9,1.81,🟢 9.0,11.9,11.9,0.83x,✅ Ativo
Karl-Anthony Towns,New York Knicks,ASSISTS,2.4,2.48,🟢 8.0,2.9,2.9,0.83x,✅ Ativo
Kevin McCullar Jr.,New York Knicks,POINTS,1.8,1.15,🟡 5.0,1.8,1.8,1.00x,✅ Ativo
Kevin McCullar Jr.,New York Knicks,REBOUNDS,1.1,1.16,🔴 4.0,1.3,1.3,0.83x,✅ Ativo
Kevin McCullar Jr.,New York Knicks,ASSISTS,0.8,1.13,🔴 4.0,1,1,0.83x,✅ Ativo
Landry Shamet,New York Knicks,POINTS,9.7,1.38,🟡 7.0,9.7,9.7,1.00x,✅ Ativo
Landry Shamet,New York Knicks,REBOUNDS,1.6,1.19,🟡 5.0,1.9,1.9,0.83x,✅ Ativo
Landry Shamet,New York Knicks,ASSISTS,1.2,1.17,🟡 5.0,1.4,1.4,0.83x,✅ Ativo
Mikal Bridges,New York Knicks,POINTS,14.7,1.58,🟢 10.0,14.7,14.7,1.00x,✅ Ativo
Mikal Bridges,New York Knicks,REBOUNDS,3.2,1.36,🟢 8.0,3.9,3.9,0.83x,✅ Ativo
Mikal Bridges,New York Knicks,ASSISTS,3.2,1.36,🟢 8.0,3.8,3.8,0.83x,✅ Ativo
Miles McBride,New York Knicks,POINTS,8,1.29,🟡 6.0,12.3,1.5,1.00x,✅ Ativo
Miles McBride,New York Knicks,REBOUNDS,1.6,1.17,🔴 4.0,2.5,1,0.83x,✅ Ativo
Miles McBride,New York Knicks,ASSISTS,1.8,1.19,🔴 4.0,2.7,1.5,0.83x,✅ Ativo
Mitchell Robinson,New York Knicks,POINTS,5.9,1.28,🟡 7.0,5.4,6.6,1.00x,✅ Ativo
Mitchell Robinson,New York Knicks,REBOUNDS,6.6,1.52,🟡 6.0,8.7,6.6,0.83x,✅ Ativo
Mitchell Robinson,New York Knicks,ASSISTS,0.6,1.11,🔴 4.0,0.9,0.4,0.83x,✅ Ativo
Mohamed Diawara,New York Knicks,POINTS,3.5,1.2,🟡 7.0,3.5,3.5,1.00x,✅ Ativo
Mohamed Diawara,New York Knicks,REBOUNDS,1.1,1.16,🟡 6.0,1.3,1.3,0.83x,✅ Ativo
Mohamed Diawara,New York Knicks,ASSISTS,0.6,1.13,🟡 6.0,0.7,0.7,0.83x,✅ Ativo
OG Anunoby,New York Knicks,POINTS,16.7,1.64,🟢 10.0,16.7,16.7,1.00x,✅ Ativo
OG Anunoby,New York Knicks,REBOUNDS,4.3,1.43,🟢 8.0,5.2,5.2,0.83x,✅ Ativo
OG Anunoby,New York Knicks,ASSISTS,1.8,1.26,🟢 8.0,2.2,2.2,0.83x,✅ Ativo
Pacome Dadiet,New York Knicks,POINTS,1.7,1.38,🔴 2.0,1.1,3.2,1.00x, ⚠️ QUESTIONABLE
Pacome Dadiet,New York Knicks,REBOUNDS,0.7,1.32,🔴 1.0,0.8,1.4,0.83x, ⚠️ QUESTIONABLE
Pacome Dadiet,New York Knicks,ASSISTS,0.2,1.24,🔴 1.0,0.4,0.2,0.83x, ⚠️ QUESTIONABLE
Trey Jemison,New York Knicks,POINTS,0.6,1.19,🔴 3.0,0.8,0.4,1.00x,✅ Ativo
Trey Jemison,New York Knicks,REBOUNDS,1.2,1.26,🔴 3.0,1.5,1.2,0.83x,✅ Ativo
Trey Jemison,New York Knicks,ASSISTS,0.2,1.18,🔴 2.0,0.3,0.4,0.83x,✅ Ativo
Tyler Kolek,New York Knicks,POINTS,4.4,1.23,🟡 7.0,4.4,4.4,1.00x,✅ Ativo
Tyler Kolek,New York Knicks,REBOUNDS,1.3,1.17,🟡 6.0,1.6,1.6,0.83x,✅ Ativo
Tyler Kolek,New York Knicks,ASSISTS,2.3,1.24,🟡 6.0,2.8,2.8,0.83x,✅ Ativo
Aaron Holiday,Houston Rockets,POINTS,5.8,1.33,🟢 9.0,5.4,5.4,1.08x,✅ Ativo
Aaron Holiday,Houston Rockets,REBOUNDS,0.9,1.16,🟡 7.0,0.9,0.9,1.00x,✅ Ativo
Aaron Holiday,Houston Rockets,ASSISTS,0.8,1.13,🟡 6.0,1,1,0.83x,✅ Ativo
Alperen Sengun,Houston Rockets,POINTS,20.6,1.75,🟢 10.0,20.6,20.6,1.00x,✅ Ativo
Alperen Sengun,Houston Rockets,REBOUNDS,7.4,1.65,🟢 9.0,8.9,8.9,0.83x,✅ Ativo
Alperen Sengun,Houston Rockets,ASSISTS,5.1,1.49,🟢 9.0,6.2,6.2,0.83x,✅ Ativo
Amen Thompson,Houston Rockets,POINTS,19.3,1.72,🟢 10,17.9,17.9,1.08x,✅ Ativo
Amen Thompson,Houston Rockets,REBOUNDS,7.8,1.69,🟢 10.0,7.8,7.8,1.00x,✅ Ativo
Amen Thompson,Houston Rockets,ASSISTS,4.4,1.44,🟢 8.0,5.3,5.3,0.83x,✅ Ativo
Clint Capela,Houston Rockets,POINTS,3.6,1.2,🟡 7.0,3.6,3.6,1.00x,✅ Ativo
Clint Capela,Houston Rockets,REBOUNDS,3.8,1.34,🟡 6.0,4.6,4.6,0.83x,✅ Ativo
Clint Capela,Houston Rockets,ASSISTS,0.6,1.13,🟡 6.0,0.7,0.7,0.83x,✅ Ativo
Dorian Finney-Smith,Houston Rockets,POINTS,3,1.18,🟡 6.0,3.1,2.4,1.08x,✅ Ativo
Dorian Finney-Smith,Houston Rockets,REBOUNDS,1.7,1.28,🔴 3.0,2.5,1.6,0.83x,✅ Ativo
Dorian Finney-Smith,Houston Rockets,ASSISTS,1,1.27,🔴 3.0,1,1.4,0.83x,✅ Ativo
Isaiah Crawford,Houston Rockets,POINTS,1.8,1.19,🔴 4.0,1.3,2.3,1.08x,✅ Ativo
Isaiah Crawford,Houston Rockets,REBOUNDS,0.8,1.25,🔴 2.0,0.8,1.3,0.83x,✅ Ativo
Isaiah Crawford,Houston Rockets,ASSISTS,0.2,1.1,🔴 4.0,0.3,0.3,0.83x,✅ Ativo
JD Davison,Houston Rockets,POINTS,2.3,1.18,🟡 6.0,2.1,2.1,1.08x,✅ Ativo
JD Davison,Houston Rockets,REBOUNDS,0.9,1.16,🟡 5.0,0.9,0.9,1.00x,✅ Ativo
JD Davison,Houston Rockets,ASSISTS,0.9,1.14,🔴 4.0,1.1,1.1,0.83x,✅ Ativo
Jabari Smith Jr.,Houston Rockets,POINTS,18.5,1.71,🟢 9.0,15.5,15.5,1.08x,✅ Ativo
Jabari Smith Jr.,Houston Rockets,REBOUNDS,6.3,1.52,🟡 7.0,6.9,6.9,0.83x,✅ Ativo
Jabari Smith Jr.,Houston Rockets,ASSISTS,1.7,1.2,🟡 6.0,1.9,1.9,0.83x,✅ Ativo
Jae'Sean Tate,Houston Rockets,POINTS,2.8,1.19,🟡 7.0,2.6,2.6,1.08x,✅ Ativo
Jae'Sean Tate,Houston Rockets,REBOUNDS,1.1,1.16,🟡 5.0,1.3,1.3,0.83x,✅ Ativo
Jae'Sean Tate,Houston Rockets,ASSISTS,0.3,1.1,🟡 5.0,0.4,0.4,0.83x,✅ Ativo
Jeff Green,Houston Rockets,POINTS,1.7,1.13,🔴 4.0,2.2,0.8,1.08x,✅ Ativo
Jeff Green,Houston Rockets,REBOUNDS,0.7,1.25,🔴 2.0,0.7,1,0.83x,✅ Ativo
Jeff Green,Houston Rockets,ASSISTS,0.2,1.21,🔴 2.0,0.2,0.4,0.83x,✅ Ativo
Josh Okogie,Houston Rockets,POINTS,5,1.31,🟢 9.0,4.6,4.6,1.08x,✅ Ativo
Josh Okogie,Houston Rockets,REBOUNDS,2.5,1.27,🟡 7.0,2.5,2.5,1.00x,✅ Ativo
Josh Okogie,Houston Rockets,ASSISTS,0.7,1.14,🟡 6.0,0.8,0.8,0.83x,✅ Ativo
Kevin Durant,Houston Rockets,POINTS,27.9,1.97,🟢 10,25.8,25.8,1.08x,✅ Ativo
Kevin Durant,Houston Rockets,REBOUNDS,4.5,1.45,🟢 8.0,5.4,5.4,0.83x,✅ Ativo
Kevin Durant,Houston Rockets,ASSISTS,3.9,1.41,🟢 8.0,4.7,4.7,0.83x,✅ Ativo
Reed Sheppard,Houston Rockets,POINTS,14.8,1.59,🟢 10,13.7,13.7,1.08x,✅ Ativo
Reed Sheppard,Houston Rockets,REBOUNDS,2.9,1.36,🟢 9.0,2.9,2.9,1.00x,✅ Ativo
Reed Sheppard,Houston Rockets,ASSISTS,2.8,1.33,🟢 8.0,3.4,3.4,0.83x,✅ Ativo
Tari Eason,Houston Rockets,POINTS,11.2,1.49,🟢 10,10.4,10.4,1.08x,✅ Ativo
Tari Eason,Houston Rockets,REBOUNDS,5.2,1.5,🟢 9.0,6.3,6.3,0.83x,✅ Ativo
Tari Eason,Houston Rockets,ASSISTS,1.2,1.22,🟢 8.0,1.5,1.5,0.83x,✅ Ativo
Andersson Garcia,Utah Jazz,POINTS,5.2,1.25,🟡 5.0,5.2,5.2,1.00x,✅ Ativo
Andersson Garcia,Utah Jazz,REBOUNDS,7,1.56,🔴 4.0,8.4,8.4,0.83x,✅ Ativo
Andersson Garcia,Utah Jazz,ASSISTS,2.3,1.34,🔴 3.0,2.8,2.8,0.83x,✅ Ativo
Blake Hinson,Utah Jazz,POINTS,11.3,1.43,🟡 7.0,10.6,12.4,1.00x,✅ Ativo
Blake Hinson,Utah Jazz,REBOUNDS,1.7,1.19,🟡 5.0,2.2,1.8,0.83x,✅ Ativo
Blake Hinson,Utah Jazz,ASSISTS,0.8,1.15,🔴 4.0,0.8,1.4,0.83x,✅ Ativo
Brice Sensabaugh,Utah Jazz,POINTS,14.5,1.57,🟢 10.0,14.5,14.5,1.00x,✅ Ativo
Brice Sensabaugh,Utah Jazz,REBOUNDS,2.6,1.32,🟢 8.0,3.1,3.1,0.83x,✅ Ativo
Brice Sensabaugh,Utah Jazz,ASSISTS,1.5,1.25,🟢 8.0,1.8,1.8,0.83x,✅ Ativo
Cody Williams,Utah Jazz,POINTS,8.2,1.39,🟢 8.0,8.2,8.2,1.00x,✅ Ativo
Cody Williams,Utah Jazz,REBOUNDS,2.3,1.24,🟡 6.0,2.8,2.8,0.83x,✅ Ativo
Cody Williams,Utah Jazz,ASSISTS,1.5,1.19,🟡 6.0,1.8,1.8,0.83x,✅ Ativo
John Konchar,Utah Jazz,POINTS,5.4,1.25,🟡 6.0,5.4,5.4,1.00x,✅ Ativo
John Konchar,Utah Jazz,REBOUNDS,4.1,1.36,🔴 4.0,5,5,0.83x,✅ Ativo
John Konchar,Utah Jazz,ASSISTS,2,1.22,🔴 4.0,2.4,2.4,0.83x,✅ Ativo
Kevin Love,Utah Jazz,POINTS,6.6,1.29,🟡 7.0,6.7,6.5,1.00x,✅ Ativo
Kevin Love,Utah Jazz,REBOUNDS,4.9,1.42,🟡 5.0,5.8,6,0.83x,✅ Ativo
Kevin Love,Utah Jazz,ASSISTS,1.2,1.25,🔴 3.0,1.8,1,0.83x,✅ Ativo
Kyle Filipowski,Utah Jazz,POINTS,11.3,1.48,🟢 10.0,11.3,11.3,1.00x,✅ Ativo
Kyle Filipowski,Utah Jazz,REBOUNDS,5.9,1.54,🟢 9.0,7.1,7.1,0.83x,✅ Ativo
Kyle Filipowski,Utah Jazz,ASSISTS,2.1,1.29,🟢 8.0,2.5,2.5,0.83x,✅ Ativo
Oscar Tshiebwe,Utah Jazz,POINTS,5.8,1.26,🟡 6.0,6.1,6.1,0.95x,✅ Ativo
Oscar Tshiebwe,Utah Jazz,REBOUNDS,4.5,1.39,🔴 4.0,5.4,5.4,0.83x,✅ Ativo
Oscar Tshiebwe,Utah Jazz,ASSISTS,0.8,1.13,🔴 4.0,1,1,0.83x,✅ Ativo
Svi Mykhailiuk,Utah Jazz,POINTS,11.3,1.45,🔴 4.0,9.2,14.5,1.00x,✅ Ativo
Svi Mykhailiuk,Utah Jazz,REBOUNDS,2,1.22,🔴 4.0,2.4,2.5,0.83x,✅ Ativo
Svi Mykhailiuk,Utah Jazz,ASSISTS,1.4,1.27,🔴 3.0,1.9,1.5,0.83x,✅ Ativo
Cedric Coward,Memphis Grizzlies,POINTS,12.7,1.52,🟢 10.0,13.4,13.4,0.95x,✅ Ativo
Cedric Coward,Memphis Grizzlies,REBOUNDS,4.9,1.48,🟢 8.0,5.9,5.9,0.83x,✅ Ativo
Cedric Coward,Memphis Grizzlies,ASSISTS,2.3,1.3,🟢 8.0,2.8,2.8,0.83x,✅ Ativo
DeJon Jarreau,Memphis Grizzlies,POINTS,8.6,1.35,🟡 7.0,8,8,1.08x,✅ Ativo
DeJon Jarreau,Memphis Grizzlies,REBOUNDS,4.4,1.39,🟡 5.0,4.6,4.6,0.95x,✅ Ativo
